Variable,Type,Metric,Metric_Value,P_Value,Significant,MI_Score,RF_Importance,Metric_Value_Norm,MI_Score_Norm,RF_Importance_Norm,Combined_Score
IMC,Continua,Point_Biserial,0.0631348108818127,9.140561112088316e-28,Sí,0.00029762567513325067,0.0280104393793745,0.30970271605477767,0.006003865725081041,0.6959664291081459,0.3372243369626682
Peso (Kg),Continua,Point_Biserial,0.03846781263115931,2.9310241137597324e-11,Sí,0.008894355916582164,0.024601026683504022,0.18870074822681188,0.17942174716724743,0.6112538422342608,0.32645877920944005
Tensión Arterial Sistólica (mm/Hg),Continua,Point_Biserial,0.017830929247529253,0.0020591428585732393,Sí,0.007631207110708971,0.019488209334549148,0.08746818340959334,0.15394082782833704,0.48421730471909097,0.24187543865234043
Dx Preoperatorio Code,OneHot_Group,Cramers_V,0.12670646185103365,6.072561949081687e-85,Sí,0.0008362447673418448,0.0017220155571894074,0.6215483158794173,0.016869180705509502,0.04278636982354073,0.22706795546948919
PrÃ³tesis Dental_movil,Categórica,Cramers_V,0.045121915131624134,6.302539471834353e-15,Sí,,,0.22134191066188458,,,0.22134191066188458
Talla (cm),Continua,Point_Biserial,0.012980465440020714,0.024882706633423093,Sí,0.0015481100110061874,0.018383374033999617,0.06367462492213878,0.031229310541080017,0.4567658153489426,0.18388991693738713
Tensión Arterial Media (mm/Hg),Continua,Point_Biserial,0.016215602240292785,0.005072942660705294,Sí,0.003518473963187496,0.01589449679684577,0.07954432722834542,0.07097655544238174,0.3949254786169884,0.18181545376257188
anio,Ordinal,Spearman,0.047028760971253546,4.2425250380004216e-16,Sí,0.00011137522319781823,0.011643227650858456,0.2306957889325662,0.0022467211032154892,0.28929555376514554,0.17407935460030907
PrÃ³tesis Dental_no,Categórica,Cramers_V,0.03431436055928055,3.0287230049197998e-09,Sí,,,0.16832632451827817,,,0.16832632451827817
score_proc_ant_medium_severity,Continua,Point_Biserial,0.015743042529026172,0.006514631367216669,Sí,0.007079228406454252,0.010373338946825844,0.07722622372833966,0.1428060155445318,0.25774303526516323,0.15925842484601158
Hora_decimal,Continua,Point_Biserial,0.01084842035058257,0.06082771747309923,No,0.002598100585159191,0.014951529293423898,0.05321604991846425,0.052410287004192625,0.37149586663436485,0.15904073451900724
Procedimiento propuesto Code,OneHot_Group,Cramers_V,0.08310766804617217,4.2640456515306003e-35,Sí,0.000758463601785925,0.0012804882922889272,0.4076779538796867,0.015300137061244052,0.031815883079482535,0.15159799134013777
Tensión Arterial Diastólica (mm/Hg),Continua,Point_Biserial,0.010026314490544443,0.0831547204101865,No,0.0041352375443137745,0.011390338492673693,0.04918327601477776,0.08341824322198757,0.28301209772940716,0.1385378723220575
score_proc_ant_moderate_severity,Continua,Point_Biserial,0.012516707571043523,0.030535939946141233,Sí,0.004214684870607943,0.01033099445822232,0.061399698148652766,0.08502089755976719,0.2566909152992227,0.13437050366921421
predicted_label_proc_encoded,Ordinal,Spearman,0.03642430349500273,3.044624101032651e-10,Sí,0.0031265529728803365,0.005440654351429965,0.1786764791918545,0.06307051373549105,0.1351821986685653,0.12564306386530363
Temperatura,Continua,Point_Biserial,0.012247198021884044,0.03430320164578187,Sí,0.0011656369597305982,0.011254422396139512,0.06007764082066552,0.023513857758679493,0.2796350339467924,0.1210755108420458
score_proc_ant_critical,Continua,Point_Biserial,0.0017665433010898282,0.760158605808384,No,0.006094684735962641,0.00932063969700253,0.008665635498616773,0.12294526933887057,0.23158695367353213,0.1210659528370065
score_proc_ant_low_severity,Continua,Point_Biserial,0.013858884151023326,0.01661869463805372,Sí,0.003962599292122171,0.007765630825972592,0.06798363696844262,0.07993569123883956,0.1929501455697971,0.1136231579256931
RH,OneHot_Group,Cramers_V,0.04567990592781588,2.9365439133390913e-14,Sí,0.0013728734858913978,0.0032970623372778375,0.22407908944963212,0.027694344794432144,0.0819210534452336,0.11123149589643262
Puntaje Mallampati,Ordinal,Spearman,0.03296775542466597,1.2077345795306108e-08,Sí,0.004085472415826352,0.0034347711590515424,0.1617206617813746,0.08241435419562546,0.08534266049853487,0.10982589215851164
Frecuencia Respiratoria,Continua,Point_Biserial,0.00035546692298955434,0.951018813897735,No,0.0,0.012181764339088496,0.0017437142834494958,0.0,0.30267640262563056,0.10147337230302668
Grupo Sanguíneo,OneHot_Group,Cramers_V,0.04724279149260172,1.1525613764442796e-13,Sí,0.0015389762084322633,0.0014027150736104735,0.23174569837007503,0.031045058546729433,0.03485281282505365,0.09921452324728604
Antecedente endocrinológicos,OneHot_Group,Cramers_V,0.04426821581024326,1.213835837550157e-12,Sí,0.00035851133890851816,0.0016356070357459143,0.21715415758504847,0.007232084190189859,0.040639404925952416,0.08834188223373025
mes,Ordinal,Spearman,0.010601457945895043,0.06694173606924811,No,0.0,0.007744581953082109,0.05200459578679156,0.0,0.19242715095682691,0.08147724891453949
Sexo_encoded,Binaria,Phi_Coefficient,0.013261870814209936,0.02191434214920554,Sí,0.002270821970578929,0.0051053190740780905,0.0650550362591104,0.045808246183115214,0.12685023027736522,0.07923783757319695
Estado Nutricional_encoded,Ordinal,Spearman,0.03173898994681025,4.1084905178880514e-08,Sí,0.0,0.0031831648592453004,0.15569305196404815,0.0,0.07909107923465059,0.07826137706623292
Examen_PT (INR),Continua,Point_Biserial,0.031684656119360284,4.332639012289426e-08,Sí,0.0,0.0031908832955004525,0.15542652176145663,0.0,0.07928285675181272,0.07823645950442311
predicted_label_dx_encoded,Ordinal,Spearman,0.009797189490156387,0.09044207198349744,No,0.0040986584280919836,0.004144240568804945,0.048059321829359035,0.08268034955055133,0.10297062002390829,0.07790343046793956
Antecedentes cardiovasculares,OneHot_Group,Cramers_V,0.03607115010786391,2.0800639161027305e-06,Sí,0.0018857451189356333,0.000619514626248727,0.17694411377168112,0.03804026813462121,0.015392881788497757,0.07679242123160003
AlÃ©rgeno_med_opioides,Categórica,Cramers_V,0.015434085377045081,0.007647695014369281,Sí,,,0.07571065937047355,,,0.07571065937047355
Antecedente renales,OneHot_Group,Cramers_V,0.033149003584971,3.519420477640937e-07,Sí,0.0019792749560872958,0.0007282753142927401,0.16260975999426827,0.03992700248069491,0.018095223821057018,0.07354399543200674
score_proc_ant_high_severity,Continua,Point_Biserial,0.004298292912712954,0.4576139605093447,No,0.0006538512017919551,0.007242652459520355,0.02108492875599444,0.013189839277085929,0.17995586935474464,0.07141021246260833
Antecedente hematológicos,OneHot_Group,Cramers_V,0.03274275067494235,1.618918489471716e-05,Sí,0.0018180670625894838,0.0003599753085600578,0.16061691915284154,0.036675029861226845,0.008944191366384807,0.06874538012681773
Antecedentes anestésicos,Continua,Point_Biserial,0.01084988723829325,0.06079283285688852,No,0.00045918288577961874,0.005751991671954945,0.05322324561766411,0.009262884958570089,0.14291789750138764,0.06846800935920729
Anestesia previa,OneHot_Group,Cramers_V,0.034443531404610636,0.0012689653545518802,Sí,0.001175037844150184,0.0002361384353986511,0.1689599616682921,0.023703497472144838,0.005867256183799776,0.0661769051080789
AlÃ©rgeno_suplementos,Categórica,Cramers_V,0.012686276652800713,0.02835222306695688,Sí,,,0.06223150558492474,,,0.06223150558492474
predicted_label_proc_ant_encoded,Ordinal,Spearman,0.0028860466023662465,0.6179681245830321,No,0.003814773887360623,0.00347156092808395,0.014157268532675243,0.07695367740368662,0.08625676412377295,0.05912257002004493
dia_semana,Ordinal,Spearman,0.009691755942953304,0.09396379314442793,No,0.0,0.005023537661144821,0.04754212607829849,0.0,0.12481823366511297,0.05745345324780382
Sistema Nervioso,OneHot_Group,Cramers_V,0.021640613346084428,0.007339032030734478,Sí,0.0016235029894726694,0.0009886699784397632,0.10615628108746443,0.03275017838665156,0.02456516676306829,0.054490542079061434
Antecedentes quirúrgicos Code,OneHot_Group,Cramers_V,0.02555417303988134,0.24347672621984207,No,0.001185489014755008,0.0002014546110283731,0.1253539321088689,0.023914324125299626,0.005005478292069486,0.05142457817541266
Respuesta Motora_encoded,Ordinal,Spearman,0.0012638244813723508,0.8271184902299836,No,0.004603463976695199,0.0017761869381300466,0.006199588927735136,0.09286355948273428,0.0441323488009671,0.04773183240381217
AlÃ©rgeno_med_alergias_respiratorio,Categórica,Cramers_V,0.009574542584344014,0.09800081122256565,No,,,0.046967145413714655,,,0.046967145413714655
Abdomen,OneHot_Group,Cramers_V,0.021201029283206798,0.003804194952163162,Sí,0.0016191460328380813,2.0980693145282794e-05,0.10399993696753908,0.03266228750629537,0.0005213005726460795,0.045727841682160174
Sistema cardiovascular,OneHot_Group,Cramers_V,0.01992845192693804,0.018417908657478912,Sí,0.0015284558892334488,0.00012268827663626303,0.09775741151887606,0.03083283699082235,0.0030483963720628763,0.043879548293920434
Condición,OneHot_Group,Cramers_V,0.02452880187272481,0.021462835225580852,Sí,0.00043299091963162125,6.125544120491819e-05,0.12032405665668604,0.008734526483589593,0.0015219943572260702,0.0435268591658339
Examen_Plaquetas (ml),Continua,Point_Biserial,0.013639440853814832,0.018417790757237845,Sí,0.0027479431514869646,0.000153200300852785,0.06690717559608324,0.05543299211097054,0.0038065188795759403,0.04204889552887658
Antecedente neurológicos,OneHot_Group,Cramers_V,0.021304195822312327,0.018699005095834057,Sí,0.0008245607785223689,7.023734071627865e-05,0.10450601209345915,0.016633484978069067,0.0017451647418410556,0.04096155393778975
Examen_Hematocrito (%),Continua,Point_Biserial,0.020980157876557146,0.0002879213277601831,Sí,0.00030349452897127094,0.0002140190940746987,0.10291647011964927,0.006122255411682591,0.005317663984014756,0.03811879650511554
Examen_PTT,Continua,Point_Biserial,0.017314529627248644,0.0027687652183319626,Sí,0.0014367117304665555,0.0,0.08493502677640175,0.02898212431272314,0.0,0.03797238369637496
AlÃ©rgeno_ambiental_animales,Categórica,Cramers_V,0.007089789856247982,0.2204917619251368,No,,,0.03477839157304163,,,0.03477839157304163
Antecedente gastrointestinales,OneHot_Group,Cramers_V,0.011530086752303721,0.2646847668570941,No,0.0016807485840050207,0.00024826282719039817,0.05655990940117546,0.033904967410719446,0.006168507069090201,0.03221112796032837
Examen_Glicemia (mg/dl),Continua,Point_Biserial,0.012789332254854931,0.027092295674139885,Sí,0.0,0.0010235546096150317,0.06273703651809881,0.0,0.025431934037261204,0.029389656851786673
Antecedente respiratorios,OneHot_Group,Cramers_V,0.01177608284191776,0.3871863202914175,No,0.0010069215980561097,0.0001182875732593545,0.05776662335229413,0.020312165836184313,0.0029390535026666024,0.02700594756371501
Sistema Respiratorio,OneHot_Group,Cramers_V,0.01215790585980251,0.22004601923023034,No,0.0009005391176650779,0.0,0.05963962533075106,0.0181661610350768,0.0,0.02593526212194262
AlÃ©rgeno_med_urologico,Categórica,Cramers_V,0.00504918917866562,0.38289462260298324,No,,,0.024768389746734867,,,0.024768389746734867
Color de Piel,OneHot_Group,Cramers_V,0.010585573992226519,0.3412224283825446,No,0.0008214166334820083,0.0,0.051926678334848306,0.016570059587655245,0.0,0.022832245974167848
Examen_K (meq/L),Continua,Point_Biserial,0.01334586661001953,0.02108990138541885,Sí,0.0,0.0,0.06546707085200892,0.0,0.0,0.02182235695066964
Arritmia_encoded,Binaria,Phi_Coefficient,0.005552414528158839,0.3372867146380236,No,0.001697432114363906,0.0,0.02723692105852439,0.03424151658797109,0.0,0.020492812548831826
AlÃ©rgeno_med_neuro_psiquiatria,Categórica,Cramers_V,0.004153637443471986,0.4728740990304172,No,,,0.02037533303391377,,,0.02037533303391377
AlÃ©rgeno_med_cardio_renal_hemostasia,Categórica,Cramers_V,0.0038923771765812837,0.5011630550598736,No,,,0.019093741893889384,,,0.019093741893889384
AlÃ©rgeno_med_analgesia_no_opioide,Categórica,Cramers_V,0.0038767426287422283,0.5028839233819955,No,,,0.019017047882100735,,,0.019017047882100735
AlÃ©rgeno_med_gastrointestinal,Categórica,Cramers_V,0.0037786492548406007,0.5137517617900083,No,,,0.018535858758382897,,,0.018535858758382897
Examen_Na (meq/L),Continua,Point_Biserial,0.009744609987817707,0.09218484130409545,No,0.0003319776083263726,0.0,0.0478013973269228,0.00669683145861905,0.0,0.018166076261847283
Respuesta Verbal_encoded,Ordinal,Spearman,0.0020252392937139705,0.7263557364214254,No,0.0,0.0017737492532216936,0.009934647798315661,0.0,0.0440717804236568,0.01800214274065749
AlÃ©rgeno_med_antiinfecciosos,Categórica,Cramers_V,0.00350085726602664,0.5451787288908554,No,,,0.01717317259155499,,,0.01717317259155499
AlÃ©rgeno_alimentos,Categórica,Cramers_V,0.003138887783650335,0.5875108349390633,No,,,0.015397560528176226,,,0.015397560528176226
Apertura Visual_encoded,Ordinal,Spearman,0.0011940678615110657,0.836522062319711,No,0.0,0.0016017433575407584,0.00585740346250451,0.0,0.03979800494369209,0.015218469468732199
Apertura Oral_encoded,Ordinal,Spearman,0.005283633951426839,0.361211519880204,No,0.0001871216579525381,0.0005794483390893094,0.025918439645908807,0.003774719059767266,0.01439736756523661,0.01469684209030423
AlÃ©rgeno_onco_inmuno_vacunas,Categórica,Cramers_V,0.002478746936601656,0.6683857822158753,No,,,0.012159292915521147,,,0.012159292915521147
Atención_encoded,Ordinal,Spearman,0.006858012660670072,0.23596553486945182,No,0.0,0.0,0.03364142725830862,0.0,0.0,0.011213809086102873
Examen_Leucocitos (ml),Continua,Point_Biserial,0.0026182144695170986,0.6509459954180083,No,0.0004248465407217239,0.0003238583597369278,0.012843439634931286,0.00857023367730763,0.008046805089708816,0.00982015946731591
Cuello Móvil_encoded,Ordinal,Spearman,0.005458444466225649,0.34554371592645866,No,0.0,0.0,0.02677595850867175,0.0,0.0,0.008925319502890583
Examen_P de O,Continua,Point_Biserial,0.004872513740693208,0.39978074740330605,No,0.0,0.0,0.023901722653953794,0.0,0.0,0.007967240884651264
AlÃ©rgeno_med_anestesia_y_relajantes,Categórica,Cramers_V,0.0013275563060215858,0.8185412883308796,No,,,0.006512220246611563,,,0.006512220246611563
PrÃ³tesis Dental_fija,Categórica,Cramers_V,0.0013219315031327075,0.8192968111844283,No,,,0.006484628230295566,,,0.006484628230295566
Angina_encoded,Binaria,Phi_Coefficient,0.0,1.0,No,0.0009147885630933494,0.0,0.0,0.01845360853761471,0.0,0.0061512028458715695
AlÃ©rgeno_contacto_hospitalario,Categórica,Cramers_V,0.0008191178675816413,0.8874308842182699,No,,,0.004018116547999524,,,0.004018116547999524
Disnea_encoded,Binaria,Phi_Coefficient,0.0024095330433188287,0.677114925795653,No,0.0,0.0,0.011819769751690903,0.0,0.0,0.003939923250563635
AlÃ©rgeno_otro,Categórica,Cramers_V,0.0002463042644368203,0.9660482529416797,No,,,0.0012082256778238292,,,0.0012082256778238292
